"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"Round_of_16",42,"1994-07-04","Brazil",1,0,"United_States","Stanford Stadium, Stanford",1994,"United_States"
"Round_of_16",43,"1994-07-05","Nigeria",1,2,"Italy","Foxboro Stadium, Foxborough",1994,"United_States"
"Round_of_16",44,"1994-07-05","Mexico",1,3,"Bulgaria","Giants Stadium, East Rutherford",1994,"United_States"
"Quarter-finals",45,"1994-07-09","Italy",2,1,"Spain","Foxboro Stadium, Foxborough",1994,"United_States"
"Quarter-finals",46,"1994-07-09","Netherlands",2,3,"Brazil","Cotton Bowl, Dallas",1994,"United_States"
"Quarter-finals",47,"1994-07-10","Bulgaria",2,1,"Germany","Giants Stadium, East Rutherford",1994,"United_States"
"Quarter-finals",48,"1994-07-10","Romania",4,5,"Sweden","Stanford Stadium, Stanford",1994,"United_States"
"Semi-finals",49,"1994-07-13","Bulgaria",1,2,"Italy","Giants Stadium, East Rutherford",1994,"United_States"
"Semi-finals",50,"1994-07-13","Sweden",0,1,"Brazil","Rose Bowl, Pasadena",1994,"United_States"
"Semi-finals",51,"1994-07-16","Sweden",4,0,"Bulgaria","Rose Bowl, Pasadena",1994,"United_States"
"Final",52,"1994-07-17","Brazil",3,2,"Italy","Rose Bowl, Pasadena",1994,"United_States"
"A",1,"1998-06-10","Brazil",2,1,"Scotland","Stade de France, Saint-Denis",1998,"France"
"A",2,"1998-06-10","Morocco",2,2,"Norway","Stade de la Mosson, Montpellier",1998,"France"
"A",17,"1998-06-16","Scotland",1,1,"Norway","Parc Lescure, Bordeaux",1998,"France"
"A",18,"1998-06-16","Brazil",3,0,"Morocco","Stade de la Beaujoire, Nantes",1998,"France"
"A",34,"1998-06-23","Scotland",0,3,"Morocco","Stade Geoffroy-Guichard, Saint-Étienne",1998,"France"
"A",35,"1998-06-23","Brazil",1,2,"Norway","Stade Vélodrome, Marseille",1998,"France"
"B",3,"1998-06-11","Cameroon",1,1,"Austria","Stade de Toulouse, Toulouse",1998,"France"
"B",4,"1998-06-11","Italy",2,2,"Chile","Parc Lescure, Bordeaux",1998,"France"
"B",19,"1998-06-17","Chile",1,1,"Austria","Stade Geoffroy-Guichard, Saint-Étienne",1998,"France"
"B",20,"1998-06-17","Italy",3,0,"Cameroon","Stade de la Mosson, Montpellier",1998,"France"
"B",33,"1998-06-23","Italy",2,1,"Austria","Stade de France, Saint-Denis",1998,"France"
"B",36,"1998-06-23","Chile",1,1,"Cameroon","Stade de la Beaujoire, Nantes",1998,"France"
"C",5,"1998-06-12","Saudi_Arabia",0,1,"Denmark","Stade Félix Bollaert, Lens",1998,"France"
"C",6,"1998-06-12","France",3,0,"South_Africa","Stade Vélodrome, Marseille",1998,"France"
"C",21,"1998-06-18","France",4,0,"Saudi_Arabia","Stade de France, Saint-Denis",1998,"France"
"C",22,"1998-06-18","South_Africa",1,1,"Denmark","Stade de Toulouse, Toulouse",1998,"France"
"C",38,"1998-06-24","France",2,1,"Denmark","Stade Gerland, Lyon",1998,"France"
"C",40,"1998-06-24","South_Africa",2,2,"Saudi_Arabia","Parc Lescure, Bordeaux",1998,"France"
"D",7,"1998-06-12","Paraguay",0,0,"Bulgaria","Stade de la Mosson, Montpellier",1998,"France"
"D",10,"1998-06-13","Spain",2,3,"Nigeria","Stade de la Beaujoire, Nantes",1998,"France"
"D",23,"1998-06-19","Nigeria",1,0,"Bulgaria","Parc des Princes, Paris",1998,"France"
"D",24,"1998-06-19","Spain",0,0,"Paraguay","Stade Geoffroy-Guichard, Saint-Étienne",1998,"France"
"D",37,"1998-06-24","Spain",6,1,"Bulgaria","Stade Félix Bollaert, Lens",1998,"France"
"D",39,"1998-06-24","Nigeria",1,3,"Paraguay","Stade de Toulouse, Toulouse",1998,"France"
"E",8,"1998-06-13","Netherlands",0,0,"Belgium","Stade de France, Saint-Denis",1998,"France"
"E",9,"1998-06-13","South_Korea",1,3,"Mexico","Stade Gerland, Lyon",1998,"France"
"E",25,"1998-06-20","Netherlands",5,0,"South_Korea","Stade Vélodrome, Marseille",1998,"France"
"E",26,"1998-06-20","Belgium",2,2,"Mexico","Parc Lescure, Bordeaux",1998,"France"
"E",41,"1998-06-25","Belgium",1,1,"South_Korea","Parc des Princes, Paris",1998,"France"
"E",42,"1998-06-25","Netherlands",2,2,"Mexico","Stade Geoffroy-Guichard, Saint-Étienne",1998,"France"
"F",12,"1998-06-14","Yugoslavia",1,0,"Iran","Stade Geoffroy-Guichard, Saint-Étienne",1998,"France"
"F",14,"1998-06-15","Germany",2,0,"United_States","Parc des Princes, Paris",1998,"France"
"F",29,"1998-06-21","Germany",2,2,"Yugoslavia","Stade Félix Bollaert, Lens",1998,"France"
"F",30,"1998-06-21","United_States",1,2,"Iran","Stade Gerland, Lyon",1998,"France"
"F",43,"1998-06-25","Germany",2,0,"Iran","Stade de la Mosson, Montpellier",1998,"France"
"F",44,"1998-06-25","United_States",0,1,"Yugoslavia","Stade de la Beaujoire, Nantes",1998,"France"
"G",15,"1998-06-15","Romania",1,0,"Colombia","Stade Gerland, Lyon",1998,"France"
"G",16,"1998-06-15","England",2,0,"Tunisia","Stade Vélodrome, Marseille",1998,"France"
"G",31,"1998-06-22","Colombia",1,0,"Tunisia","Stade de la Mosson, Montpellier",1998,"France"
"G",32,"1998-06-22","Romania",2,1,"England","Stade de Toulouse, Toulouse",1998,"France"
"G",45,"1998-06-26","Romania",1,1,"Tunisia","Stade de France, Saint-Denis",1998,"France"
"G",46,"1998-06-26","Colombia",0,2,"England","Stade Félix Bollaert, Lens",1998,"France"
"H",11,"1998-06-14","Jamaica",1,3,"Croatia","Stade Félix Bollaert, Lens",1998,"France"
"H",13,"1998-06-14","Argentina",1,0,"Japan","Stade de Toulouse, Toulouse",1998,"France"
"H",27,"1998-06-20","Japan",0,1,"Croatia","Stade de la Beaujoire, Nantes",1998,"France"
"H",28,"1998-06-21","Argentina",5,0,"Jamaica","Parc des Princes, Paris",1998,"France"
"H",47,"1998-06-26","Japan",1,2,"Jamaica","Stade Gerland, Lyon",1998,"France"
"H",48,"1998-06-26","Argentina",1,0,"Croatia","Parc Lescure, Bordeaux",1998,"France"
"Round_of_16",49,"1998-06-27","Brazil",4,1,"Chile","Parc des Princes, Paris",1998,"France"
"Round_of_16",50,"1998-06-27","Italy",1,0,"Norway","Stade Vélodrome, Marseille",1998,"France"
"Round_of_16",51,"1998-06-28","Nigeria",1,4,"Denmark","Stade de France, Saint-Denis",1998,"France"
"Round_of_16",52,"1998-06-28","France",1,0,"Paraguay","Stade Félix Bollaert, Lens",1998,"France"
"Round_of_16",53,"1998-06-29","Germany",2,1,"Mexico","Stade de la Mosson, Montpellier",1998,"France"
"Round_of_16",54,"1998-06-29","Netherlands",2,1,"Yugoslavia","Stade de Toulouse, Toulouse",1998,"France"
"Round_of_16",55,"1998-06-30","Argentina",4,3,"England","Stade Geoffroy-Guichard, Saint-Étienne",1998,"France"
"Round_of_16",56,"1998-06-30","Romania",0,1,"Croatia","Parc Lescure, Bordeaux",1998,"France"
"Quarter-finals",57,"1998-07-03","Italy",3,4,"France","Stade de France, Saint-Denis",1998,"France"
"Quarter-finals",58,"1998-07-03","Brazil",3,2,"Denmark","Stade de la Beaujoire, Nantes",1998,"France"
"Quarter-finals",59,"1998-07-04","Germany",0,3,"Croatia","Stade Gerland, Lyon",1998,"France"
"Quarter-finals",60,"1998-07-04","Netherlands",2,1,"Argentina","Stade Vélodrome, Marseille",1998,"France"
"Semi-finals",61,"1998-07-07","Brazil",4,2,"Netherlands","Stade Vélodrome, Marseille",1998,"France"
"Semi-finals",62,"1998-07-08","France",2,1,"Croatia","Stade de France, Saint-Denis",1998,"France"
"Semi-finals",63,"1998-07-11","Netherlands",1,2,"Croatia","Parc des Princes, Paris",1998,"France"
"Final",64,"1998-07-12","Brazil",0,3,"France","Stade de France, Saint-Denis",1998,"France"
"A",1,"2002-05-31","France",0,1,"Senegal","Seoul World Cup Stadium, Seoul",2002,"South_Korea/Japan"
"A",3,"2002-06-01","Uruguay",1,2,"Denmark","Munsu Cup Stadium, Ulsan",2002,"South_Korea/Japan"
"A",18,"2002-06-06","France",0,0,"Uruguay","Asiad Main Stadium, Busan",2002,"South_Korea/Japan"
"A",19,"2002-06-06","Denmark",1,1,"Senegal","Daegu World Cup Stadium, Daegu",2002,"South_Korea/Japan"
"A",33,"2002-06-11","Denmark",2,0,"France","Incheon Munhak Stadium, Incheon",2002,"South_Korea/Japan"
"A",34,"2002-06-11","Senegal",3,3,"Uruguay","Suwon World Cup Stadium, Suwon",2002,"South_Korea/Japan"
"B",6,"2002-06-02","Paraguay",2,2,"South_Africa","Asiad Main Stadium, Busan",2002,"South_Korea/Japan"
"B",8,"2002-06-02","Spain",3,1,"Slovenia","Gwangju World Cup Stadium, Gwangju",2002,"South_Korea/Japan"
"B",22,"2002-06-07","Spain",3,1,"Paraguay","Jeonju World Cup Stadium, Jeonju",2002,"South_Korea/Japan"
"B",24,"2002-06-08","South_Africa",1,0,"Slovenia","Daegu World Cup Stadium, Daegu",2002,"South_Korea/Japan"
"B",39,"2002-06-12","South_Africa",2,3,"Spain","Daejeon World Cup Stadium, Daejeon",2002,"South_Korea/Japan"
"B",40,"2002-06-12","Slovenia",1,3,"Paraguay","Jeju World Cup Stadium, Jeju",2002,"South_Korea/Japan"
"C",10,"2002-06-03","Brazil",2,1,"Turkey","Munsu Cup Stadium, Ulsan",2002,"South_Korea/Japan"
"C",12,"2002-06-04","China",0,2,"Costa_Rica","Gwangju World Cup Stadium, Gwangju",2002,"South_Korea/Japan"
"C",26,"2002-06-08","Brazil",4,0,"China","Jeju World Cup Stadium, Jeju",2002,"South_Korea/Japan"
"C",28,"2002-06-09","Costa_Rica",1,1,"Turkey","Incheon Munhak Stadium, Incheon",2002,"South_Korea/Japan"
"C",41,"2002-06-13","Costa_Rica",2,5,"Brazil","Suwon World Cup Stadium, Suwon",2002,"South_Korea/Japan"
"C",42,"2002-06-13","Turkey",3,0,"China","Seoul World Cup Stadium, Seoul",2002,"South_Korea/Japan"
"D",14,"2002-06-04","South_Korea",2,0,"Poland","Asiad Main Stadium, Busan",2002,"South_Korea/Japan"
"D",16,"2002-06-05","United_States",3,2,"Portugal","Suwon World Cup Stadium, Suwon",2002,"South_Korea/Japan"
"D",30,"2002-06-10","South_Korea",1,1,"United_States","Daegu World Cup Stadium, Daegu",2002,"South_Korea/Japan"
"D",32,"2002-06-10","Portugal",4,0,"Poland","Jeonju World Cup Stadium, Jeonju",2002,"South_Korea/Japan"
"D",47,"2002-06-14","Portugal",0,1,"South_Korea","Incheon Munhak Stadium, Incheon",2002,"South_Korea/Japan"
"D",48,"2002-06-14","Poland",3,1,"United_States","Daejeon World Cup Stadium, Daejeon",2002,"South_Korea/Japan"
"E",2,"2002-06-01","Ireland",1,1,"Cameroon","Niigata Stadium, Niigata",2002,"South_Korea/Japan"
"E",4,"2002-06-01","Germany",8,0,"Saudi_Arabia","Sapporo Dome, Sapporo",2002,"South_Korea/Japan"
"E",17,"2002-06-05","Germany",1,1,"Ireland","Kashima Soccer Stadium, Ibaraki",2002,"South_Korea/Japan"
"E",19,"2002-06-06","Cameroon",1,0,"Saudi_Arabia","Saitama Stadium, Saitama",2002,"South_Korea/Japan"
"E",35,"2002-06-11","Cameroon",0,2,"Germany","Shizuoka Stadium, Shizuoka",2002,"South_Korea/Japan"
"E",36,"2002-06-11","Saudi_Arabia",0,3,"Ireland","International Stadium Yokohama, Yokohama",2002,"South_Korea/Japan"
"F",5,"2002-06-02","England",1,1,"Sweden","Saitama Stadium, Saitama",2002,"South_Korea/Japan"
"F",7,"2002-06-02","Argentina",1,0,"Nigeria","Kashima Soccer Stadium, Ibaraki",2002,"South_Korea/Japan"
"F",21,"2002-06-07","Sweden",2,1,"Nigeria","Kobe Wing Stadium, Kobe",2002,"South_Korea/Japan"
"F",23,"2002-06-07","Argentina",0,1,"England","Sapporo Dome, Sapporo",2002,"South_Korea/Japan"
"F",37,"2002-06-12","Sweden",1,1,"Argentina","Miyagi Stadium, Miyagi",2002,"South_Korea/Japan"
"F",38,"2002-06-12","Nigeria",0,0,"England","Nagai Stadium, Osaka",2002,"South_Korea/Japan"
"G",9,"2002-06-03","Croatia",0,1,"Mexico","Niigata Stadium, Niigata",2002,"South_Korea/Japan"
"G",11,"2002-06-03","Italy",2,0,"Ecuador","Sapporo Dome, Sapporo",2002,"South_Korea/Japan"
"G",25,"2002-06-08","Italy",1,2,"Croatia","Kashima Soccer Stadium, Ibaraki",2002,"South_Korea/Japan"
"G",27,"2002-06-09","Mexico",2,1,"Ecuador","Miyagi Stadium, Miyagi",2002,"South_Korea/Japan"
"G",43,"2002-06-13","Mexico",1,1,"Italy","Ōita Stadium, Ōita",2002,"South_Korea/Japan"
"G",44,"2002-06-13","Ecuador",1,0,"Croatia","International Stadium Yokohama, Yokohama",2002,"South_Korea/Japan"
"H",13,"2002-06-04","Japan",2,2,"Belgium","Saitama Stadium, Saitama",2002,"South_Korea/Japan"
"H",15,"2002-06-05","Russia",2,0,"Tunisia","Kobe Wing Stadium, Kobe",2002,"South_Korea/Japan"
"H",29,"2002-06-09","Japan",1,0,"Russia","International Stadium Yokohama, Yokohama",2002,"South_Korea/Japan"
"H",31,"2002-06-10","Tunisia",1,1,"Belgium","Ōita Stadium, Ōita",2002,"South_Korea/Japan"
"H",45,"2002-06-14","Tunisia",0,2,"Japan","Nagai Stadium, Osaka",2002,"South_Korea/Japan"
"H",46,"2002-06-14","Belgium",3,2,"Russia","Shizuoka Stadium, Shizuoka",2002,"South_Korea/Japan"
"Round_of_16",49,"2002-06-15","Germany",1,0,"Paraguay","Jeju World Cup Stadium, Jeju",2002,"South_Korea/Japan"
"Round_of_16",50,"2002-06-15","Denmark",0,3,"England","Niigata Stadium, Niigata",2002,"South_Korea/Japan"
"Round_of_16",51,"2002-06-16","Sweden",1,2,"Senegal","Ōita Stadium, Ōita",2002,"South_Korea/Japan"
"Round_of_16",52,"2002-06-16","Spain",3,2,"Ireland","Suwon World Cup Stadium, Suwon",2002,"South_Korea/Japan"
"Round_of_16",53,"2002-06-17","Mexico",0,2,"United_States","Jeonju World Cup Stadium, Jeonju",2002,"South_Korea/Japan"
"Round_of_16",54,"2002-06-17","Brazil",2,0,"Belgium","Kobe Wing Stadium, Kobe",2002,"South_Korea/Japan"
"Round_of_16",55,"2002-06-18","Japan",0,1,"Turkey","Miyagi Stadium, Miyagi",2002,"South_Korea/Japan"
"Round_of_16",56,"2002-06-18","South_Korea",2,1,"Italy","Daejeon World Cup Stadium, Daejeon",2002,"South_Korea/Japan"
"Quarter-finals",57,"2002-06-21","England",1,2,"Brazil","Shizuoka Stadium, Shizuoka",2002,"South_Korea/Japan"
"Quarter-finals",58,"2002-06-21","Germany",1,0,"United_States","Munsu Cup Stadium, Ulsan",2002,"South_Korea/Japan"
"Quarter-finals",59,"2002-06-22","Spain",3,5,"South_Korea","Gwangju World Cup Stadium, Gwangju",2002,"South_Korea/Japan"
"Quarter-finals",60,"2002-06-22","Senegal",0,1,"Turkey","Nagai Stadium, Osaka",2002,"South_Korea/Japan"
"Semi-finals",61,"2002-06-25","Germany",1,0,"South_Korea","Seoul World Cup Stadium, Seoul",2002,"South_Korea/Japan"
"Semi-finals",62,"2002-06-26","Brazil",1,0,"Turkey","Saitama Stadium, Saitama",2002,"South_Korea/Japan"
"Semi-finals",63,"2002-06-29","South_Korea",2,3,"Turkey","Daegu World Cup Stadium, Daegu",2002,"South_Korea/Japan"
"Final",64,"2002-06-30","Germany",0,2,"Brazil","International Stadium Yokohama, Yokohama",2002,"South_Korea/Japan"
"A",1,"2006-06-09","Germany",4,2,"Costa_Rica","Allianz Arena, München",2006,"Germany"
"A",2,"2006-06-09","Poland",0,2,"Ecuador","Veltins-Arena, Gelsenkirchen",2006,"Germany"
"A",17,"2006-06-14","Germany",1,0,"Poland","Signal Iduna Park, Dortmund",2006,"Germany"
"A",18,"2006-06-15","Ecuador",3,0,"Costa_Rica","AOL Arena, Hamburg",2006,"Germany"
"A",33,"2006-06-20","Ecuador",0,3,"Germany","Olympiastadion, Berlin",2006,"Germany"
"A",34,"2006-06-20","Costa_Rica",1,2,"Poland","AWD-Arena, Hannover",2006,"Germany"
"B",3,"2006-06-10","England",1,0,"Paraguay","Commerzbank-Arena, Frankfurt",2006,"Germany"
"B",4,"2006-06-10","Trinidad_and_Tobago",0,0,"Sweden","Signal Iduna Park, Dortmund",2006,"Germany"
"B",19,"2006-06-15","England",2,0,"Trinidad_and_Tobago","Frankenstadion, Nürnberg",2006,"Germany"
"B",20,"2006-06-15","Sweden",1,0,"Paraguay","Olympiastadion, Berlin",2006,"Germany"
"B",35,"2006-06-20","Sweden",2,2,"England","RheinEnergieStadion, Köln",2006,"Germany"
"B",36,"2006-06-20","Paraguay",2,0,"Trinidad_and_Tobago","Fritz-Walter-Stadion, Kaiserslautern",2006,"Germany"
"C",5,"2006-06-10","Argentina",2,1,"Ivory_Coast","AOL Arena, Hamburg",2006,"Germany"
"C",6,"2006-06-11","Serbia_and_Montenegro",0,1,"Netherlands","Zentralstadion, Leipzig",2006,"Germany"
"C",21,"2006-06-16","Argentina",6,0,"Serbia_and_Montenegro","Veltins-Arena, Gelsenkirchen",2006,"Germany"
"C",22,"2006-06-16","Netherlands",2,1,"Ivory_Coast","Gottlieb-Daimler-Stadion, Stuttgart",2006,"Germany"
"C",37,"2006-06-21","Netherlands",0,0,"Argentina","Commerzbank-Arena, Frankfurt",2006,"Germany"
"C",38,"2006-06-21","Ivory_Coast",3,2,"Serbia_and_Montenegro","Allianz Arena, München",2006,"Germany"
"D",7,"2006-06-11","Mexico",3,1,"Iran","Frankenstadion, Nürnberg",2006,"Germany"
"D",8,"2006-06-11","Angola",0,1,"Portugal","RheinEnergieStadion, Köln",2006,"Germany"
"D",23,"2006-06-16","Mexico",0,0,"Angola","AWD-Arena, Hannover",2006,"Germany"
"D",24,"2006-06-17","Portugal",2,0,"Iran","Commerzbank-Arena, Frankfurt",2006,"Germany"
"D",39,"2006-06-21","Portugal",2,1,"Mexico","Veltins-Arena, Gelsenkirchen",2006,"Germany"
"D",40,"2006-06-21","Iran",1,1,"Angola","Zentralstadion, Leipzig",2006,"Germany"
"E",9,"2006-06-12","Italy",2,0,"Ghana","AWD-Arena, Hannover",2006,"Germany"
"E",10,"2006-06-12","United_States",0,3,"Czech_Republic","Veltins-Arena, Gelsenkirchen",2006,"Germany"
"E",25,"2006-06-17","Italy",1,1,"United_States","Fritz-Walter-Stadion, Kaiserslautern",2006,"Germany"
"E",26,"2006-06-17","Czech_Republic",0,2,"Ghana","RheinEnergieStadion, Köln",2006,"Germany"
"E",41,"2006-06-22","Czech_Republic",0,2,"Italy","AOL Arena, Hamburg",2006,"Germany"
"E",42,"2006-06-22","Ghana",2,1,"United_States","Frankenstadion, Nürnberg",2006,"Germany"
"F",11,"2006-06-13","Brazil",1,0,"Croatia","Olympiastadion, Berlin",2006,"Germany"
"F",12,"2006-06-12","Australia",3,1,"Japan","Fritz-Walter-Stadion, Kaiserslautern",2006,"Germany"
"F",27,"2006-06-18","Brazil",2,0,"Australia","Allianz Arena, München",2006,"Germany"
"F",28,"2006-06-18","Japan",0,0,"Croatia","Frankenstadion, Nürnberg",2006,"Germany"
"F",43,"2006-06-22","Japan",1,4,"Brazil","Signal Iduna Park, Dortmund",2006,"Germany"
"F",44,"2006-06-22","Croatia",2,2,"Australia","Gottlieb-Daimler-Stadion, Stuttgart",2006,"Germany"
"G",13,"2006-06-13","France",0,0,"Switzerland","Gottlieb-Daimler-Stadion, Stuttgart",2006,"Germany"
"G",14,"2006-06-13","South_Korea",2,1,"Togo","Commerzbank-Arena, Frankfurt",2006,"Germany"
"G",29,"2006-06-18","France",1,1,"South_Korea","Zentralstadion, Leipzig",2006,"Germany"
"G",30,"2006-06-19","Togo",0,2,"Switzerland","Signal Iduna Park, Dortmund",2006,"Germany"
"G",45,"2006-06-23","Togo",0,2,"France","RheinEnergieStadion, Köln",2006,"Germany"
"G",46,"2006-06-23","Switzerland",2,0,"South_Korea","AWD-Arena, Hannover",2006,"Germany"
"H",15,"2006-06-14","Spain",4,0,"Ukraine","Zentralstadion, Leipzig",2006,"Germany"
"H",16,"2006-06-14","Tunisia",2,2,"Saudi_Arabia","Allianz Arena, München",2006,"Germany"
"H",31,"2006-06-19","Spain",3,1,"Tunisia","Gottlieb-Daimler-Stadion, Stuttgart",2006,"Germany"
"H",32,"2006-06-19","Saudi_Arabia",0,4,"Ukraine","AOL Arena, Hamburg",2006,"Germany"
"H",47,"2006-06-23","Saudi_Arabia",0,1,"Spain","Fritz-Walter-Stadion, Kaiserslautern",2006,"Germany"
"H",48,"2006-06-23","Ukraine",1,0,"Tunisia","Olympiastadion, Berlin",2006,"Germany"
"Round_of_16",49,"2006-06-24","Germany",2,0,"Sweden","Allianz Arena, München",2006,"Germany"
"Round_of_16",50,"2006-06-24","Argentina",2,1,"Mexico","Zentralstadion, Leipzig",2006,"Germany"
"Round_of_16",51,"2006-06-25","England",1,0,"Ecuador","Gottlieb-Daimler-Stadion, Stuttgart",2006,"Germany"
"Round_of_16",52,"2006-06-25","Portugal",1,0,"Netherlands","Frankenstadion, Nürnberg",2006,"Germany"
"Round_of_16",53,"2006-06-26","Italy",1,0,"Australia","Fritz-Walter-Stadion, Kaiserslautern",2006,"Germany"
"Round_of_16",54,"2006-06-26","Switzerland",0,3,"Ukraine","RheinEnergieStadion, Köln",2006,"Germany"
"Round_of_16",55,"2006-06-27","Brazil",3,0,"Ghana","Signal Iduna Park, Dortmund",2006,"Germany"
"Round_of_16",56,"2006-06-27","Spain",1,3,"France","AWD-Arena, Hannover",2006,"Germany"
"Quarterfinals",57,"2006-06-30","Germany",4,2,"Argentina","Olympiastadion, Berlin",2006,"Germany"
"Quarterfinals",58,"2006-06-30","Italy",3,0,"Ukraine","AOL Arena, Hamburg",2006,"Germany"
"Quarterfinals",59,"2006-07-01","England",1,3,"Portugal","Veltins-Arena, Gelsenkirchen",2006,"Germany"
"Quarterfinals",60,"2006-07-01","Brazil",0,1,"France","Commerzbank-Arena, Frankfurt",2006,"Germany"
"Semifinals",61,"2006-07-04","Germany",0,2,"Italy","Iduna Park, Dortmund",2006,"Germany"
"Semifinals",62,"2006-07-05","Portugal",0,1,"France","Allianz Arena, München",2006,"Germany"
"Semifinals",63,"2006-07-08","Germany",3,1,"Portugal","Gottlieb-Daimler-Stadion, Stuttgart",2006,"Germany"
"Final",64,"2006-07-09","Italy",5,3,"France","Olympiastadion, Berlin",2006,"Germany"
"A",1,"2010-06-11","South_Africa",1,1,"Mexico","Soccer City, Johannesburg",2010,"South_Africa"
"A",2,"2010-06-11","Uruguay",0,0,"France","Cape Town Stadium, Cape Town",2010,"South_Africa"
"A",17,"2010-06-16","South_Africa",0,3,"Uruguay","Loftus Versfeld Stadium, Pretoria",2010,"South_Africa"
"A",18,"2010-06-17","France",0,2,"Mexico","Peter Mokaba Stadium, Polokwane",2010,"South_Africa"
"A",33,"2010-06-22","Mexico",0,1,"Uruguay","Royal Bafokeng Stadium, Rustenburg",2010,"South_Africa"
"A",34,"2010-06-22","France",1,2,"South_Africa","Free State Stadium, Bloemfontein",2010,"South_Africa"
"B",4,"2010-06-12","South_Korea",2,0,"Greece","Nelson Mandela Bay Stadium, Port Elizabeth",2010,"South_Africa"
"B",3,"2010-06-12","Argentina",1,0,"Nigeria","Ellis Park Stadium, Johannesburg",2010,"South_Africa"
"B",20,"2010-06-17","Argentina",4,1,"South_Korea","Soccer City, Johannesburg",2010,"South_Africa"
"B",19,"2010-06-17","Greece",2,1,"Nigeria","Free State Stadium, Bloemfontein",2010,"South_Africa"
"B",35,"2010-06-22","Nigeria",2,2,"South_Korea","Moses Mabhida Stadium, Durban",2010,"South_Africa"
"B",36,"2010-06-22","Greece",0,2,"Argentina","Peter Mokaba Stadium, Polokwane",2010,"South_Africa"
"C",5,"2010-06-12","England",1,1,"United_States","Royal Bafokeng Stadium, Rustenburg",2010,"South_Africa"
"C",6,"2010-06-13","Algeria",0,1,"Slovenia","Peter Mokaba Stadium, Polokwane",2010,"South_Africa"
"C",22,"2010-06-18","Slovenia",2,2,"United_States","Ellis Park Stadium, Johannesburg",2010,"South_Africa"
"C",23,"2010-06-18","England",0,0,"Algeria","Cape Town Stadium, Cape Town",2010,"South_Africa"
"C",38,"2010-06-23","United_States",1,0,"Algeria","Loftus Versfeld Stadium, Pretoria",2010,"South_Africa"
"C",37,"2010-06-23","Slovenia",0,1,"England","Nelson Mandela Bay Stadium, Port Elizabeth",2010,"South_Africa"
"D",8,"2010-06-13","Serbia",0,1,"Ghana","Loftus Versfeld Stadium, Pretoria",2010,"South_Africa"
"D",7,"2010-06-13","Germany",4,0,"Australia","Moses Mabhida Stadium, Durban",2010,"South_Africa"
"D",21,"2010-06-18","Germany",0,1,"Serbia","Nelson Mandela Bay Stadium, Port Elizabeth",2010,"South_Africa"
"D",24,"2010-06-19","Ghana",1,1,"Australia","Royal Bafokeng Stadium, Rustenburg",2010,"South_Africa"
"D",40,"2010-06-23","Australia",2,1,"Serbia","Mbombela Stadium, Nelspruit",2010,"South_Africa"
"D",39,"2010-06-23","Ghana",0,1,"Germany","Soccer City, Johannesburg",2010,"South_Africa"
"E",9,"2010-06-14","Netherlands",2,0,"Denmark","Soccer City, Johannesburg",2010,"South_Africa"
"E",10,"2010-06-14","Japan",1,0,"Cameroon","Free State Stadium, Bloemfontein",2010,"South_Africa"
"E",25,"2010-06-19","Netherlands",1,0,"Japan","Moses Mabhida Stadium, Durban",2010,"South_Africa"
"E",26,"2010-06-19","Cameroon",1,2,"Denmark","Loftus Versfeld Stadium, Pretoria",2010,"South_Africa"
"E",43,"2010-06-24","Denmark",1,3,"Japan","Royal Bafokeng Stadium, Rustenburg",2010,"South_Africa"
"E",44,"2010-06-24","Cameroon",1,2,"Netherlands","Cape Town Stadium, Cape Town",2010,"South_Africa"
"F",11,"2010-06-14","Italy",1,1,"Paraguay","Cape Town Stadium, Cape Town",2010,"South_Africa"
"F",12,"2010-06-15","New_Zealand",1,1,"Slovakia","Royal Bafokeng Stadium, Rustenburg",2010,"South_Africa"
"F",27,"2010-06-20","Slovakia",0,2,"Paraguay","Free State Stadium, Bloemfontein",2010,"South_Africa"
"F",28,"2010-06-20","Italy",1,1,"New_Zealand","Mbombela Stadium, Nelspruit",2010,"South_Africa"
"F",41,"2010-06-24","Slovakia",3,2,"Italy","Ellis Park Stadium, Johannesburg",2010,"South_Africa"
"F",42,"2010-06-24","Paraguay",0,0,"New_Zealand","Peter Mokaba Stadium, Polokwane",2010,"South_Africa"
"G",13,"2010-06-15","Ivory_Coast",0,0,"Portugal","Nelson Mandela Bay Stadium, Port Elizabeth",2010,"South_Africa"
"G",14,"2010-06-15","Brazil",2,1,"North_Korea","Ellis Park Stadium, Johannesburg",2010,"South_Africa"
"G",29,"2010-06-20","Brazil",3,1,"Ivory_Coast","Soccer City, Johannesburg",2010,"South_Africa"
"G",30,"2010-06-21","Portugal",7,0,"North_Korea","Cape Town Stadium, Cape Town",2010,"South_Africa"
"G",45,"2010-06-25","Portugal",0,0,"Brazil","Moses Mabhida Stadium, Durban",2010,"South_Africa"
"G",46,"2010-06-25","North_Korea",0,3,"Ivory_Coast","Mbombela Stadium, Nelspruit",2010,"South_Africa"
"H",15,"2010-06-16","Honduras",0,1,"Chile","Mbombela Stadium, Nelspruit",2010,"South_Africa"
"H",16,"2010-06-16","Spain",0,1,"Switzerland","Moses Mabhida Stadium, Durban",2010,"South_Africa"
"H",31,"2010-06-21","Chile",1,0,"Switzerland","Nelson Mandela Bay Stadium, Port Elizabeth",2010,"South_Africa"
