"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"Final",22,"1950-07-16","Uruguay",2,1,"Brazil","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"1",3,"1954-06-16","Brazil",5,0,"Mexico","Charmilles Stadium, Geneva",1954,"Switzerland"
"1",4,"1954-06-16","Yugoslavia",1,0,"France","Stade Olympique de la Pontaise, Lausanne",1954,"Switzerland"
"1",10,"1954-06-19","Brazil",1,1,"Yugoslavia","Stade Olympique de la Pontaise, Lausanne",1954,"Switzerland"
"1",11,"1954-06-19","France",3,2,"Mexico","Charmilles Stadium, Geneva",1954,"Switzerland"
"2",5,"1954-06-17","West_Germany",4,1,"Turkey","Wankdorf Stadium, Bern",1954,"Switzerland"
"2",8,"1954-06-17","Hungary",9,0,"South_Korea","Hardturm Stadium, Zürich",1954,"Switzerland"
"2",14,"1954-06-20","Hungary",8,3,"West_Germany","St. Jakob Stadium, Basel",1954,"Switzerland"
"2",15,"1954-06-20","Turkey",7,0,"South_Korea","Charmilles Stadium, Geneva",1954,"Switzerland"
"2",25,"1954-06-23","West_Germany",7,2,"Turkey","Hardturm Stadium, Zürich",1954,"Switzerland"
"3",1,"1954-06-16","Uruguay",2,0,"Czechoslovakia","Wankdorf Stadium, Bern",1954,"Switzerland"
"3",2,"1954-06-16","Austria",1,0,"Scotland","Hardturm Stadium, Zürich",1954,"Switzerland"
"3",9,"1954-06-19","Austria",5,0,"Czechoslovakia","Hardturm Stadium, Zürich",1954,"Switzerland"
"3",12,"1954-06-19","Uruguay",7,0,"Scotland","St. Jakob Stadium, Basel",1954,"Switzerland"
"4",6,"1954-06-17","England",4,4,"Belgium","St. Jakob Stadium, Basel",1954,"Switzerland"
"4",7,"1954-06-17","Switzerland",2,1,"Italy","Stade Olympique de la Pontaise, Lausanne",1954,"Switzerland"
"4",13,"1954-06-20","England",2,0,"Switzerland","Wankdorf Stadium, Bern",1954,"Switzerland"
"4",16,"1954-06-20","Italy",4,1,"Belgium","Cornaredo Stadium, Lugano",1954,"Switzerland"
"4",26,"1954-06-23","Switzerland",4,1,"Italy","St. Jakob Stadium, Basel",1954,"Switzerland"
"Quarter-finals",19,"1954-06-26","Austria",7,5,"Switzerland","Stade Olympique de la Pontaise, Lausanne",1954,"Switzerland"
"Quarter-finals",20,"1954-06-26","Uruguay",4,2,"England","St. Jakob Stadium, Basel",1954,"Switzerland"
"Quarter-finals",17,"1954-06-27","Yugoslavia",0,2,"West_Germany","Charmilles Stadium, Geneva",1954,"Switzerland"
"Quarter-finals",18,"1954-06-27","Brazil",2,4,"Hungary","Wankdorf Stadium, Bern",1954,"Switzerland"
"Semi-finals",21,"1954-06-30","West_Germany",6,1,"Austria","St. Jakob Stadium, Basel",1954,"Switzerland"
"Semi-finals",22,"1954-06-30","Hungary",4,2,"Uruguay","Stade Olympique de la Pontaise, Lausanne",1954,"Switzerland"
"Semi-finals",23,"1954-07-03","Uruguay",1,3,"Austria","Hardturm Stadium, Zürich",1954,"Switzerland"
"Final",24,"1954-07-04","Hungary",2,3,"West_Germany","Wankdorf Stadium, Bern",1954,"Switzerland"
"1",7,"1958-06-08","West_Germany",3,1,"Argentina","Malmö Stadion, Malmö",1958,"Sweden"
"1",8,"1958-06-08","Northern_Ireland",1,0,"Czechoslovakia","Örjans Vall, Halmstad",1958,"Sweden"
"1",15,"1958-06-11","Argentina",3,1,"Northern_Ireland","Örjans Vall, Halmstad",1958,"Sweden"
"1",14,"1958-06-11","West_Germany",2,2,"Czechoslovakia","Olympiastadion, Helsingborg",1958,"Sweden"
"1",23,"1958-06-15","West_Germany",2,2,"Northern_Ireland","Malmö Stadion, Malmö",1958,"Sweden"
"1",24,"1958-06-15","Czechoslovakia",6,1,"Argentina","Olympiastadion, Helsingborg",1958,"Sweden"
"1",35,"1958-06-17","Northern_Ireland",2,1,"Czechoslovakia","Malmö Stadion, Malmö",1958,"Sweden"
"2",3,"1958-06-08","France",7,3,"Paraguay","Idrottsparken, Norrköping",1958,"Sweden"
"2",4,"1958-06-08","Yugoslavia",1,1,"Scotland","Arosvallen, Västerås",1958,"Sweden"
"2",11,"1958-06-11","Yugoslavia",3,2,"France","Arosvallen, Västerås",1958,"Sweden"
"2",10,"1958-06-11","Paraguay",3,2,"Scotland","Idrottsparken, Norrköping",1958,"Sweden"
"2",20,"1958-06-15","France",2,1,"Scotland","Eyravallen, Örebro",1958,"Sweden"
"2",19,"1958-06-15","Paraguay",3,3,"Yugoslavia","Tunavallen, Eskilstuna",1958,"Sweden"
"3",1,"1958-06-08","Sweden",3,0,"Mexico","Råsunda Stadium, Solna",1958,"Sweden"
"3",2,"1958-06-08","Hungary",1,1,"Wales","Jernvallen, Sandviken",1958,"Sweden"
"3",9,"1958-06-11","Mexico",1,1,"Wales","Råsunda Stadium, Solna",1958,"Sweden"
"3",16,"1958-06-12","Sweden",2,1,"Hungary","Råsunda Stadium, Solna",1958,"Sweden"
"3",17,"1958-06-15","Sweden",0,0,"Wales","Råsunda Stadium, Solna",1958,"Sweden"
"3",18,"1958-06-15","Hungary",4,0,"Mexico","Jernvallen, Sandviken",1958,"Sweden"
"3",33,"1958-06-17","Wales",2,1,"Hungary","Råsunda Stadium, Solna",1958,"Sweden"
"4",6,"1958-06-08","Brazil",3,0,"Austria","Rimnersvallen, Uddevalla",1958,"Sweden"
"4",5,"1958-06-08","Soviet_Union",2,2,"England","Ullevi, Gothenburg",1958,"Sweden"
"4",12,"1958-06-11","Brazil",0,0,"England","Ullevi, Gothenburg",1958,"Sweden"
"4",13,"1958-06-11","Soviet_Union",2,0,"Austria","Ryavallen, Borås",1958,"Sweden"
"4",22,"1958-06-15","England",2,2,"Austria","Ryavallen, Borås",1958,"Sweden"
"4",21,"1958-06-15","Brazil",2,0,"Soviet_Union","Ullevi, Gothenburg",1958,"Sweden"
"4",34,"1958-06-17","Soviet_Union",1,0,"England","Ullevi, Gothenburg",1958,"Sweden"
"Quarter-finals",26,"1958-06-19","France",4,0,"Northern_Ireland","Idrottsparken, Norrköping",1958,"Sweden"
"Quarter-finals",25,"1958-06-19","Sweden",2,0,"Soviet_Union","Råsunda Stadium, Solna",1958,"Sweden"
